(We Are) New Brown America | Goldwin Smith Hall 142 |Shivani Parikh|5|"In Hasan Minhaj's ""Homecoming King"" Netflix special, he coined the phrase ""New Brown America” to name this American-Born (somewhat Confused) Desi generation. What is the South Asian American identity, where do we fit in the broader term of ""Asian,"" and what does it mean to have the ""audacity of equality""? This workshop will open conversation about the post-9/11 criminalization of Desis and explore the movements and coalitions created and fostered by South Asian civil rights organizations, nonprofits, and social justice platforms. We will start and end in a group discussion and identify our hopes and dreams for Desi-Americans' political participation, where the gaps are, and how we as the New Brown America can shape this movement towards collective liberation."||
Resilience Through Art: How SEAs Have Healed, Mobilized and Resisted Through Creative Modes of Self-Expression | Rockefeller Hall 103 |Dianne Lê |6|Art is a powerful tool for social change. Join Dianne Le to learn about art as a form of communication, resilience, and healing. This workshop explores how youth have mobilized and advocated through breakdancing, spoken word, and other forms of artistic expression. Learn how to bridge communicative, generational, and cultural gaps within Southeast Asian communities to cultivate new means of healing, resistance, and advocacy.|Trigger/content warning: war, PTSD, sexism, abuse, divorce|
Race, Gender, and the Construction of Asian American Masculinity | Rockefeller Hall 104 |Nicholas Hatcher|6|For people of color, gender is often deviant by default. Black and Latinx men are seen as hyper masculine and women as aggressive or overtly sexual. Asian men are emasculated and Asian women are considered submissive. In this workshop, we explore the history and construction of Asian American masculinity and explore what that means in terms of toxic masculinity, mental health, and queer identity.||
Breaking the GenerAsianal Boundaries | Rockefeller Hall 105 |Timothy Chow & Shawn Chen|6|A discussion about the relationship between Asian-Americans and their parents. In particular, how the contrasting backgrounds and cultures between generations express emotions and how that has affected Asian-Americans growing up. Also, how mainstream media in America has set expectations for family relations. We hope this workshop will encourage Asian-Americans to have an open discussion with their parents.||
Decolonizing Education: The Fight for Asian American Studies | Rockefeller Hall 112 |Xiao Yin Ma & Alice Li|6|The greatest irony in the current system is that universities, which are designed to provide us with an education, are really the inhibitors of knowledge - the knowledge of our histories. What is the importance of learning about our roots and why do we need to fight for this knowledge? We will discuss the fight for Asian American Studies at Cornell, and how this movement can be expanded to other college campuses. ||
If Jeremy Lin and Kenyon Martin fight, who wins?  White Supremacy | Rockefeller Hall 115 | Karen Yiu & Arushi Saini|6|Horizontal violence occurs when marginalized communities hold each other down, but how do we fix the problem if we do not first recognize our own privilege and bias? Through this workshop, participants will consider the many identities that exist within the Asian American community to better understand how to support the community as a whole. Furthermore, what is the role of Asian American allyship with other marginalized communities and movements such as Black Lives Matter? We will discuss horizontal violence through examples of cultural appropriation and media representation, and discuss how the Asian American community can serve as an agent of change.||
Critical Nostalgia: Heritage & Asian Artists in the North American Diaspora | Rockefeller Hall 127 |Florence Yee|6|Often caught between the White gaze of the art world and our own self-romanticizing pitfalls, visual artists have used critical histories to help dismantle stereotypes of exoticism and Orientalism. At the same time, there are aspects of our identity that could become complicit to settler-colonialism and other forms of oppression if left unspoken. This workshop explores the nuances of dis/empowerment when it comes to denying or including visual elements of our heritage in artwork. It shows the ways in which Asian artists from the diaspora have navigated their identity and its presentation through a critical nostalgia. ||
Power Mapping | Rockefeller Hall 128 |Andrew Lo, Stephanie Wong, & Sina Uipi, OCA Asian Pacific American Advocates |6|When trying to create change and organize your community, it is important to understand how your network works. Who do you need to ally with? Who do you need to convince? Who has the power? We must address all of these questions and more in order to create a more effective campaign for change. ||
Yolk Inside an Eggshell: Asian Imagery in Western Media | Rockefeller Hall 132 |Justin Chu, Richard An, & Vinh Dang|6|"The title of our workshop, ""Yolk Inside an Eggshell: Asian Imagery in Western Media,” draws inspiration from an age-old problem: the superseding of Asian actors and actresses for  Caucasian actors and actresses. This workshop aims to give attendees a perspective on the great achievements of Asian actors/actresses in media from past to present. We will highlight the major issues associated with type casting Asian actresses and actors, as well as bring attention to the representation of Asians in media. Together, we will create our own skits on a moment in our lives when we were stereotyped and underestimated. "||
Beyond The Model Minority | Rockefeller Hall 183 |Grace Vu|6|“The Model Minority” It’s a term that’s haphazardly tossed around; but, what are the implications of this term used to describe the Asian American population? And how do these implications affect other minorities? Together, we’ll take a look at the relationship between Asian Americans, Black Americans, and White Americans and explore the concepts of racial hierarchy and power dynamics between racial groups. This workshop will revolve around understanding the institution of racism in American society and how it relates to the theories on Racial Triangulation (C. Jean Kim). Identify the stratification of privilege amongst racial groups and engage in rich discussion that digs deeper into what it reallys means to be an Asian American in today’s society. ||
LGBTQQIA+ Healing Space | Rockefeller Hall 185 |Kevin Davis & Scott Ho|6|The point of the workshop is to share the experiences of Asian-American LGBTQQIA+ individuals in a safe space in an attempt to create a sense of community at this conference. This workshop will be held in a roundtable discussion so that everyone can share. There will be no formal hierarchy. Instead the facilitators will act as guides through the discussion. |Trigger/content warning: rape, sexual assault, abuse, self injurious behavior, mental illness, suicide|
Establishing the Double Conditional Visibility of Transracially Asian Adoptees in Adoption Media | Rockefeller Hall 189 |Suzi Birnbaum|6|This presentation will investigate the excluding nature of the term “Asian American” in the context of Asian-to-American adoption. Transracial adoption films will be used as examples to show how general definitions of Asian American identity are centered around the “Asian American experience” of not only having Asian racial heritage, but also being raised in and identifying with the Asian American culture. When looking at films/documentaries relating to transracial Asian adoption, there is a dominating trope - one that I label the “kinship-roots narrative” - that allows adoptee visibility, but only if it obeys the strict portrayal of an adoptee. The goal of this workshop is to be the alternative representation of adoptees that it calls for.||
Asian American Activism: Then and Now | Rockefeller Hall 230 |Raymond Partolan|6|This workshop will explore the ways in which Asian Americans have historically engaged in advocacy and activism, including their role in the Civil Rights Movement, and flashpoint moments like the Vincent Chin murder. It will also explore the ways advocacy and activism have evolved from then to now, concluding in a discussion about concrete ways to get involved in data-driven strategies to create lasting social change. ||
Asian American Career Development | Rockefeller Hall 231 |Joann Ma, Cisco Connection Asian Affinity Network|6|A panel of diverse early-in-career employees who identify as Asian American will share their stories and experiences to help upcoming graduates understand the challenges and opportunities of corporate America.||
Reimagining AAPI Identity in Visual Culture | Rockefeller Hall B16 |Kate Pangilinan & Hannah Song|6|How do you currently see AAPI voices represented in media? Can you relate? This workshop will take a close look at AAPI representation within tv, film, art, and social media. We aim to create a space where attendees will be able to gain a deeper understanding of the importance of inclusive storytelling, the development of identity, and building shared cultural knowledge. We will provide the framework and questions for people to evaluate the portrayal of AAPI individuals within art, media, and the growing digital landscape. This workshop highlights the responsibility of storytellers (whether written, visual, or through production) to create the future. Through “Reimagining AAPI Identity in Visual Culture,” we allow folx to recognize the impact of each of our authentic voices—encouraging people to have agency and insert new perspectives and conversations into contemporary media culture.||
Storytelling with a Mission | Goldwin Smith Hall 132 |The Genki Spark|9|In this workshop, we will explore how personal stories told on and off the stage can be a powerful vehicle for social change. Come learn how the pan-Asian women's arts group, The Genki Spark uses personal narratives and Japanese taiko drumming to develop leadership, bash stereotypes, and inspire college students nationwide.||
Lifting the Veil: On Illusions Surrounding Hinduism | Goldwin Smith Hall 142 |Abhi Ramakrishnan, Smita Bhoopatiraju, & Kimaya Raje|9|Our aim is to provide a background and create discourse about the history of Hinduism, variations in practice, and issues among the Hindu-American community. We plan to touch on how interfaith events can be used to strengthen minority communities. In addition, we’d like to discuss Hinduism’s role in broader issues--such as Asian-American identity--facing the nation and world today on the sociopolitical stage. For those from Cornell, we wish to provide information about HSC’s goals, events, and presence on campus.|Trigger/content warning: Discussion of discrimination, religion, and politics|
API History: Where the Past Meets Your Present | Goldwin Smith Hall 162 |Mayta Lor|9|How have Asian and Pacific Islanders contributed to the growth and diversity of the U.S? How can individuals from such a diverse community share their stories, advocate for inclusion, and create leadership opportunities? In this workshop, participants will learn about how their personal histories fit into a larger community narrative. Through self reflection, personal sharing, and group discussion, participants will find the intersections of the past and present in their own lives.||
Tongue Tied: Interpreting Asian American Emotion | Goldwin Smith Hall164 |Luna Ly, Sean McGovern|9|Do we, as AAPI’s, face unique challenges when expressing emotions? Have you ever felt like it’s hard to talk to your family or community about emotionally-charged issues like sexuality or gender identity? We (Luna and Sean) often find ourselves trying to bridge a linguistic divide that stems from an intersectional struggle with culture, translation, gender, and immigrant identity. In this workshop, we’ll look at media tropes of AAPI emotion and compare them to our linguistic realities. This session will help you think critically about your own experiences and how they fit into a larger context of AAPI emotional expression.|Trigger/content warning: Intergenerational trauma, mental health, sexuality, gender identity, language barriers|
Faculty Workshop — Campaigning for Asian American Studies | Goldwin Smith Hall G76 |Professors Shelley Wong, Viranjini Munasinghe, & Derek Chang|9|There are currently only two colleges (Binghamton and NYU) on the East Coast that offer an Asian American Studies (AAS) major. What does this mean, and what can we learn from people who have spent their careers teaching and fighting for AAS? Join three faculty members from Cornell’s own Asian American Studies Program as they give a brief overview of AAS as an academic field and focal point for student organizing, and then field questions from attendees who are interested or invested in AAS. What is AAS? Why does it matter? How can you campaign for AAS at your own campus? Students are invited to share.||
Outside the Lunchbox | Morrill Hall 106 |Sam Ng, Tony Tran, & Aishika Jennela|9|What we eat is one of the most important decisions we make each day. Yet, when discussing how food influence our lives, there’s a large absence of discourse. Outside of “comfort food” and your family’s home cooking, how has food influenced or challenged our upbringings? What are the ways food can be interpreted as political? How has gentrification of our communities and the concepts of food challenged notions of “authenticity.” “Outside the Lunchbox” aims to provide attendees a space to challenge themselves to think critically about race and food. We will be discussing the intersection of food and our experiences as Asian Americans in the contemporary moment.||
The Importance of Speaking Out | Morrill Hall 107 |Olivia Zheng & Connie Rab|9|You have an opinion. You want to speak up. Why don’t you? In this workshop, we will investigate the barriers to why we sometimes feel uncomfortable speaking out. We will interrogate the concept of complicity, discuss why Asian Americans are often conditioned to “keep our heads down,” and practice strategies to voice our opinions. We will work together to develop an action plan, placing a focus on transitioning from awareness to action.||
Between Two Worlds: Empowering Asian/Asian American Adoptees | Morrill Hall 110 |Phoebe Balascio & Kathryn Holz|9|Attendees will cover four relevant topics impacting AAPI adoptees today: misperceptions surrounding adoption stories, mental health, birth family searching, and adoption in the media. Group discussions will introduce participants to new attitudes and educate them about ways to voice their own perspectives surrounding their adoption story. This workshop is an opportunity for adoptees to connect with others who have endured similar challenges and experiences. The facilitators will provide resources for those interested in becoming more involved in the AAPI adoptee community.||
Leadership as expanding our empathy and sharing knowledge... so that we have the tools to do something! / shake things up!! | Morrill Hall 111 |Nayab Khan, Miru Osuga|9|At UPenn, the Pan-Asian American Community House leads a program, the Asian Pacific American Leadership Initiative (APALI), where students learn from activities and discussion as well as from other peoples’ experiences. It is designed to encourage APA activism through exploration of APA identity and discussion of APA issues. The first half of the workshop will be led as if it is an APALI session. The second half of the workshop will focus on creating a program like APALI within people’s own universities and colleges.||
Settler Colonialism and BDS | Rockefeller Hall 102 |Hadiyah Chowdhury|9|Because the Asian American movement is not only about anti-racism, but also about destabilizing imperialist power structures globally, we will to provide a history of the creation of the Israeli state, followed by an understanding of the structures of power that make Palestinian activism so difficult in the contemporary, American university. We will be grounding this workshop in an understanding of settler colonialism as it applies to both Palestine and the United States. We will then talk about why BDS (Boycott, Divestment, Sanctions) is a strategy Students for Justice in Palestine supports nationally and how we can run campaigns specifically targeted towards the administration and other student groups.||
Resilience Through Art: How SEAs Have Healed, Mobilized and Resisted Through Creative Modes of Self-Expression | Rockefeller Hall 103 |Dianne Lê |9|Art is a powerful tool for social change. Join Dianne Le to learn about art as a form of communication, resilience, and healing. This workshop explores how youth have mobilized and advocated through breakdancing, spoken word, and other forms of artistic expression. Learn how to bridge communicative, generational, and cultural gaps within Southeast Asian communities to cultivate new means of healing, resistance, and advocacy.|Trigger/content warning: war, PTSD, sexism, abuse, divorce|
Anti-Blackness in the Blasian Context | Rockefeller Hall 104 |Savannah Lagmay & Chelsey Gao|9|When discussing AAPI identity, Blasian-- individuals of mixed African and Asian descent--narratives are often excluded in mainstream conversations. How do we tackle this anti blackness within our own communities? Many factors affect Blasian identity and portrayal in the AAPI community, from history within the US to transnationally in modern media representations. “Anti Blackness in the Blasian Context” aims to discuss experiences being and growing up Blasian, how to prioritize Blasian narratives in the community, and how to navigate conversations of anti blackness from and regarding Blasian perspectives.||
Asian American Christianity | Rockefeller Hall 105 |Christine Lee & David Choi|9|Our identities and experiences are made up of many things, one of which often includes faith background. Despite the monumental role of faith in many people’s lives, Asian/Americans in Christian spaces are not often given the space or the language to understand what it means to be both Asian/American and Christian. One might ask: Does my Asianness even matter to God? This workshops seeks to unpack the intersections of these two points of identity, as well as give an introduction to Asian American theology. Folks do not need to be Christian to participate.||
My Name Is... | Rockefeller Hall 110 |Eurie Kim|9|"Personally, growing up as an Asian American without an ""Americanized"" name, I was subject to jokes about my name. These jokes were not necessarily cruel in nature, but for a good amount of time, I think I resented my own name, although eventually, I grew to appreciate and love my name. Through this workshop, I wish to open a discussion of the power of names; what our (as in the APIA community) names mean to us, especially for those of us with non-Americanized first names; and to expand this to question what names we refer to ourselves but also to others outside our community."|Trigger/content warning: discussion of racial slurs|
We Are the Ones We’ve Been Waiting For | Rockefeller Hall 112 |Helena Wong, Israt Audry, Van Sam|9|AAPIs have always been involved in movements for justice.  In this period of escalated attacks on communities of color, poor communities, LGBTQ people, women's bodies, the environment, etc., it is important for us to build common language and across identities.  Facilitators will work with participants to understand the current moment, and share the work of organizations from across the country who are working to fight systemic racism and articulating a vision for a world we build together.||
Disambiguating Nonprofits: A Panel with APAICS, CKA, and Planned Parenthood Generation Action | Rockefeller Hall 115 |Anthony Reyes, other facilitators TBD, APAICS|9|“”||
Critical Nostalgia: Heritage & Asian Artists in the North American Diaspora | Rockefeller Hall 127 |Florence Yee |9|Often caught between the White gaze of the art world and our own self-romanticizing pitfalls, visual artists have used critical histories to help dismantle stereotypes of exoticism and Orientalism. At the same time, there are aspects of our identity that could become complicit to settler-colonialism and other forms of oppression if left unspoken. This workshop explores the nuances of dis/empowerment when it comes to denying or including visual elements of our heritage in artwork. It shows the ways in which Asian artists from the diaspora have navigated their identity and its presentation through a critical nostalgia. ||
Power and Privilege | Rockefeller Hall 128 |Andrew Lo, Stephanie Wong, & Sina Uipi, OCA Asian Pacific American Advocates|9|Everyone has a different set of life experiences and circumstances that provides them advantages in some areas and weaknesses in other. This workshop identifies the ways that privilege expresses itself in their lives and also provide them with strategies on how to use their own privilege to effect change.||
LGBTQQIA+ Healing Space | Rockefeller Hall 185 |Kevin Davis & Scott Ho|9|The point of the workshop is to share the experiences of Asian-American LGBTQQIA+ individuals in a safe space in an attempt to create a sense of community at this conference. This workshop will be held in a roundtable discussion so that everyone can share. There will be no formal hierarchy. Instead the facilitators will act as guides through the discussion. |Trigger/content warning: rape, sexual assault, abuse, self injurious behavior, mental illness, suicide|
Cut and Paste Revolution: A Zine Workshop | Rockefeller Hall 230 |Mimi Thi Nguyen|9|Zines (pronounced “zeens”) and self-publishing have a long and rich history, from pamphlets during moments of political uprising, to fan fiction, to underground zines documenting the punk scene in the 1970s and 1980s. The 1990s saw an explosion of zine publishing, with everything from poetry and personal writing, to food and record reviews, to zines about work, cats, health, feminism, race and racism, and everything in between. What all zines have in common is that their writers and editors (often the same people/person) feel like they have something important to say that they would like to share with others. In this workshop, we will discuss how zines can create a collective conversation, and collaborate on making a conference zine and/or individual one-page zines. ||
Reimagining AAPI Identity in Visual Culture | Rockefeller Hall B16 |Kate Pangilinan & Hannah Song|9|How do you currently see AAPI voices represented in media? Can you relate? This workshop will take a close look at AAPI representation within tv, film, art, and social media. We aim to create a space where attendees will be able to gain a deeper understanding of the importance of inclusive storytelling, the development of identity, and building shared cultural knowledge. We will provide the framework and questions for people to evaluate the portrayal of AAPI individuals within art, media, and the growing digital landscape. This workshop highlights the responsibility of storytellers (whether written, visual, or through production) to create the future. Through “Reimagining AAPI Identity in Visual Culture,” we allow folx to recognize the impact of each of our authentic voices—encouraging people to have agency and insert new perspectives and conversations into contemporary media culture.||
Resist, Fight, Mobilize Through Asian Immigration in the U.S. | Rockefeller Hall 132 |Huy Tu & Mike Chiang|9|We shall share and look at the historical context and resistance background that surrounds history of Asian immigration. As we break down different aspects of immigration and citizenship, we hope to expose a new understanding of how the history of immigration in the US has been limiting for many communities and shaping our experiences. We will get the opportunity to build community and force in this workshop through sharing personal stories of immigration with resistance strategies and experience. Through this new lens of immigration and citizenship history, we can fight back against racism, xenophobia, and U.S imperialism.||
